"Xcor, Ycor, type"
414,175,tvmonitor
427,185,tvmonitor
413,181,tvmonitor
427,183,tvmonitor
428,188,tvmonitor
430,192,tvmonitor
429,185,tvmonitor
427,186,tvmonitor
414,181,tvmonitor
415,186,tvmonitor
428,185,tvmonitor
417,184,tvmonitor
417,181,tvmonitor
418,179,tvmonitor
419,178,tvmonitor
420,181,tvmonitor
418,180,tvmonitor
419,178,tvmonitor
417,172,tvmonitor
417,167,tvmonitor
420,177,tvmonitor
420,176,tvmonitor
418,176,tvmonitor
420,181,tvmonitor
419,179,tvmonitor
421,182,tvmonitor
419,177,tvmonitor
419,178,tvmonitor
420,181,tvmonitor
418,182,tvmonitor
420,181,tvmonitor
416,180,tvmonitor
418,181,tvmonitor
427,184,tvmonitor
427,182,tvmonitor
418,181,tvmonitor
419,181,tvmonitor
420,180,tvmonitor
420,182,tvmonitor
419,177,tvmonitor
421,179,tvmonitor
419,181,tvmonitor
418,178,tvmonitor
29,-7,person
59,-32,person
128,74,person
176,49,person
209,64,person
199,54,person
201,59,person
208,62,person
205,61,person
205,63,person
200,63,person
213,60,person
202,58,person
190,66,person
191,63,person
191,87,person
155,97,person
160,66,person
143,46,person
57,96,person
423,182,tvmonitor
424,179,tvmonitor
426,177,tvmonitor
424,178,tvmonitor
425,181,tvmonitor
423,178,tvmonitor
417,180,tvmonitor
424,181,tvmonitor
425,180,tvmonitor
424,182,tvmonitor
425,180,tvmonitor
425,181,tvmonitor
425,179,tvmonitor
425,184,tvmonitor
424,183,tvmonitor
424,184,tvmonitor
426,185,tvmonitor
417,176,tvmonitor
419,182,tvmonitor
418,182,tvmonitor
425,186,tvmonitor
419,179,tvmonitor
414,176,tvmonitor
416,180,tvmonitor
418,178,tvmonitor
426,184,tvmonitor
425,183,tvmonitor
425,185,tvmonitor
424,183,tvmonitor
416,178,tvmonitor
415,181,tvmonitor
425,186,tvmonitor
416,178,tvmonitor
426,184,tvmonitor
426,182,tvmonitor
418,180,tvmonitor
427,184,tvmonitor
427,185,tvmonitor
428,186,tvmonitor
416,179,tvmonitor
426,185,tvmonitor
426,184,tvmonitor
424,188,tvmonitor
426,185,tvmonitor
425,183,tvmonitor
419,179,tvmonitor
414,176,tvmonitor
414,177,tvmonitor
414,178,tvmonitor
411,177,tvmonitor
413,182,tvmonitor
412,179,tvmonitor
22,0,person
72,20,person
145,47,person
201,42,person
206,53,person
190,48,person
183,58,person
194,63,person
193,62,person
204,49,person
419,181,tvmonitor
190,65,person
173,70,person
178,89,person
146,85,person
77,82,person
422,183,tvmonitor
424,183,tvmonitor
414,182,tvmonitor
424,184,tvmonitor
424,187,tvmonitor
416,185,tvmonitor
413,179,tvmonitor
414,184,tvmonitor
415,184,tvmonitor
416,181,tvmonitor
410,186,tvmonitor
426,188,tvmonitor
423,187,tvmonitor
413,182,tvmonitor
414,189,tvmonitor
410,183,tvmonitor
413,183,tvmonitor
411,184,tvmonitor
414,187,tvmonitor
413,182,tvmonitor
415,180,tvmonitor
412,181,tvmonitor
417,182,tvmonitor
413,187,tvmonitor
412,185,tvmonitor
423,186,tvmonitor
424,188,tvmonitor
414,188,tvmonitor
413,185,tvmonitor
413,186,tvmonitor
426,188,tvmonitor
415,185,tvmonitor
