"Xcor, Ycor, type"
-23,144,tvmonitor
-27,137,tvmonitor
-21,136,tvmonitor
-25,140,tvmonitor
-27,162,car
-19,130,tvmonitor
-24,134,tvmonitor
-24,128,tvmonitor
-22,126,tvmonitor
415,323,person
405,297,person
387,266,person
376,237,person
330,174,person
212,131,person
176,58,person
76,67,person
-16,153,tvmonitor
-25,149,tvmonitor
458,350,person
455,310,person
445,303,person
441,309,person
433,261,person
420,217,person
409,215,person
408,225,person
408,180,person
383,111,person
346,111,person
277,73,person
199,58,person
115,34,person
358,17,bus
-5,55,person
5,45,person
-4,52,person
6,54,person
-8,64,person
-4,64,person
-3,72,person
0,79,person
3,87,person
7,88,person
24,22,person
20,18,person
22,56,person
63,72,person
172,143,person
340,200,person
375,201,person
424,223,person
426,209,person
427,252,person
446,280,person
440,301,person
475,308,person
-23,120,tvmonitor
395,400,person
-23,126,tvmonitor
-4,121,tvmonitor
3,0,person
53,33,person
96,16,person
135,14,person
155,38,person
343,112,person
367,140,person
407,146,person
433,163,person
436,165,person
435,190,person
443,252,person
440,268,person
454,310,person
435,326,person
444,318,person
-22,148,tvmonitor
445,409,person
-23,128,tvmonitor
-10,123,chair
461,351,person
445,322,person
442,312,person
462,315,person
444,245,person
434,211,person
435,229,person
437,220,person
397,174,person
276,129,person
209,94,person
105,59,person
465,363,person
429,310,person
475,281,person
437,280,person
438,255,person
421,208,person
372,154,person
361,176,person
163,77,person
117,65,person
7,-18,person
16,22,person
-20,112,chair
-17,102,chair
-6,122,tvmonitor
2,59,person
0,29,person
1,34,person
-5,36,person
15,11,person
36,29,person
19,55,person
123,113,person
80,119,person
316,156,person
325,167,person
