"Xcor, Ycor, type"
235,5,person
244,9,person
237,9,person
249,12,person
252,12,person
264,14,person
265,15,person
249,12,person
250,6,person
265,17,person
246,8,person
249,13,person
273,12,person
252,9,person
244,15,person
246,19,person
254,16,person
265,21,person
290,6,person
273,4,person
263,-7,person
268,5,person
259,12,person
271,13,person
266,17,person
270,13,person
264,10,person
277,22,person
334,122,cat
336,77,cat
352,160,cat
341,127,cat
337,139,cat
362,114,cat
368,95,cat
369,113,cat
359,138,dog
389,154,dog
384,196,cat
356,193,dog
66,31,bird
372,170,cat
376,169,cat
347,135,cat
316,216,bird
298,197,cat
290,189,cat
298,205,cat
298,213,bird
303,194,cat
298,218,cat
300,222,cat
311,232,cat
316,200,cat
320,190,cat
308,189,cat
48,-5,bird
55,22,bird
16,27,bird
48,16,dog
39,12,bird
55,16,bird
58,18,bird
359,167,bird
56,21,bird
83,38,bird
80,37,bird
18,22,bird
16,25,bird
75,64,bird
355,161,bird
366,141,bird
338,138,bird
358,156,dog
349,187,cat
348,179,dog
348,185,cat
25,25,bird
25,19,bird
387,161,cat
22,23,bird
15,25,bird
38,34,bird
74,58,bird
70,69,bird
29,26,bird
28,34,bird
0,48,cat
11,15,cat
94,33,chair
82,26,chair
73,17,pottedplant
63,17,pottedplant
66,19,tvmonitor
59,5,tvmonitor
90,71,bird
17,37,horse
10,26,dog
106,56,bird
36,140,person
45,40,person
33,69,person
47,74,person
31,79,person
41,75,person
37,67,person
22,82,person
36,78,person
21,80,person
28,78,person
28,84,person
21,104,person
1,77,person
-7,80,person
-21,117,person
-30,122,person
-26,123,person
-20,121,person
-13,126,person
-12,121,person
349,49,dog
350,48,dog
286,71,dog
0,43,person
3,4,person
-26,12,dog
235,165,dog
176,44,dog
227,134,dog
191,143,dog
183,155,dog
182,155,dog
3,47,dog
56,14,cat
18,-3,cat
87,12,person
197,15,bird
94,23,cat
19,16,cat
152,210,person
68,32,person
9,47,cat
-6,69,person
0,65,person
17,57,person
7,25,person
65,9,person
78,26,person
35,26,cat
251,97,person
256,74,person
193,111,person
195,103,person
-13,33,person
-7,32,person
-5,27,cat
-20,56,person
-12,63,person
5,32,person
23,25,cat
419,214,person
4,237,person
-7,224,person
61,126,person
45,43,person
94,46,person
-8,49,person
105,123,person
104,154,person
